1.3.6.1.2.1.47.1.1.1.1.6 在其父实体中的所有子实体中的相对编号
OID:1.3.6.1.2.1.47.1.1.1.1.6.17896194 Type:Integer Value:7
OID:1.3.6.1.2.1.47.1.1.1.1.6.17899777 Type:Integer Value:0
OID:1.3.6.1.2.1.47.1.1.1.1.6.17956864 Type:Integer Value:18
OID:1.3.6.1.2.1.47.1.1.1.1.6.17956865 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.17957120 Type:Integer Value:2
OID:1.3.6.1.2.1.47.1.1.1.1.6.17957376 Type:Integer Value:3
OID:1.3.6.1.2.1.47.1.1.1.1.6.17961216 Type:Integer Value:0
OID:1.3.6.1.2.1.47.1.1.1.1.6.17961472 Type:Integer Value:0
OID:1.3.6.1.2.1.47.1.1.1.1.6.17961729 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.6.17961730 Type:Integer Value:7
OID:1.3.6.1.2.1.47.1.1.1.1.6.17965313 Type:Integer Value:0
OID:1.3.6.1.2.1.47.1.1.1.1.6.18022400 Type:Integer Value:19
OID:1.3.6.1.2.1.47.1.1.1.1.6.18022401 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18087936 Type:Integer Value:20
OID:1.3.6.1.2.1.47.1.1.1.1.6.18087937 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18153472 Type:Integer Value:21
OID:1.3.6.1.2.1.47.1.1.1.1.6.18153473 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18219008 Type:Integer Value:22
OID:1.3.6.1.2.1.47.1.1.1.1.6.18219009 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18284544 Type:Integer Value:23
OID:1.3.6.1.2.1.47.1.1.1.1.6.18284545 Type:Integer Value:1
OID:1.3.6.1.2.1.47.1.1.1.1.6.18350080 Type:Integer Value:24
OID:1.3.6.1.2.1.47.1.1.1.1.6.18350081 Type:Integer Value:1
