1.3.6.1.2.1.47.1.1.1.1.5 物理实体的通用类型
OID:1.3.6.1.2.1.47.1.1.1.1.5.18350080 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18350081 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.18415616 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18415617 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18415618 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18415619 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18415620 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18415621 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18481152 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18481153 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18481154 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18481155 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18481156 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18481157 Type:Integer Value:6
OID:1.3.6.1.2.1.47.1.1.1.1.5.18546688 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18546689 Type:Integer Value:7
OID:1.3.6.1.2.1.47.1.1.1.1.5.18612224 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18612225 Type:Integer Value:7
OID:1.3.6.1.2.1.47.1.1.1.1.5.18677760 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18677761 Type:Integer Value:7
OID:1.3.6.1.2.1.47.1.1.1.1.5.18743296 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18743297 Type:Integer Value:7
OID:1.3.6.1.2.1.47.1.1.1.1.5.18808832 Type:Integer Value:5
